rimod18	rimod38	rimod61	rimod59	rimod43	rimod34	rimod37	rimod62	rimod68	rimod19	rimod31	rimod47	rimod28	rimod58	rimod29	rimod11	rimod40	rimod30	rimod24	rimod64	rimod35	rimod7	rimod72	rimod16	rimod33	rimod15	rimod71	rimod32	rimod22	rimod54	rimod52	rimod36	rimod13	rimod60	rimod53	rimod57	rimod42	rimod27	rimod2	rimod12	rimod44	rimod65	rimod1	rimod3	rimod41	rimod25
hsa-let-7a-2-3p	22.5281285044256	3.67985419752665	4.18604984228098	9.07852140903885	3.23220796907881	2.48895184700717	0	6.04049462217453	18.0734410917621	10.0562767042653	8.5394202399465	5.59892893732038	5.92844180221276	2.66518498771822	10.7345319341007	10.1165353258285	3.65780206663448	6.27924098602026	12.0868684560442	3.33507593931613	4.04516270991072	5.65131688741823	6.90709817347362	6.31818883417906	4.29459482511861	29.759672961894	9.43207168215988	6.85081730287724	4.46624133057928	11.2864695727611	5.71553104240496	10.4648802010298	5.56943857979679	5.40000688340569	5.62006648193752	2.88106909367658	3.15104831781931	15.422905035443	6.46462488994151	7.67508722303298	6.83308661472499	11.8743661205864	2.91273178841887	9.30023239583398	24.1667666615756	14.8962129190563
hsa-let-7a-3p	530.161957470817	421.956614649723	406.046834701255	309.966659537184	419.109633323885	403.210199215162	336.536429797683	436.641468402902	462.002337908168	438.819347095213	447.931407131739	391.925025612426	431.082411046613	506.385147666461	414.743279272071	401.289234591198	383.154766479961	333.696806685648	529.96269384194	281.813916872213	355.974318472143	327.776379470258	452.90829451777	403.311053915096	351.083126953446	711.526726270739	622.516731022552	363.093317052493	497.241534804493	541.750539492533	250.530777358751	465.338339605793	487.882819590199	383.400488721804	357.436228251226	372.618269448838	273.090854211007	540.988053550923	526.05885041899	571.154407514038	556.213250438615	670.90168581313	547.593576222747	545.613633888927	558.13723004115	764.888150321977
hsa-let-7a-5p	185454.557598899	160123.948933109	147520.582491824	135030.036643154	146811.195566185	182859.558771846	159213.543195628	189548.132460427	189842.295637801	187129.025326915	146473.570132079	153183.896260617	136130.574502924	164785.72260563	178072.222655177	170021.864864316	139439.98703269	232407.267374582	192340.197259256	230130.245040631	165978.419537917	175252.046109579	132493.930620192	145567.911645068	167476.31439515	190046.624247063	182861.46011637	256487.749002421	165870.248029273	160613.986333439	165851.374611493	189319.450058151	124170.633136569	148892.229793392	134112.770471771	175994.907369057	95887.450660681	64849.7565421065	164259.653828524	68918.4457192247	64571.9852004897	89687.7469957956	118165.887741418	87406.06411802	117896.99575929	126768.714925463
hsa-let-7b-3p	949.185147653133	657.467283291429	461.511995111478	468.192318380432	591.494058341421	619.749009904785	470.481277478353	846.532174907603	933.041396362218	662.800055508395	576.799021661841	504.836759181721	468.346902374808	742.254019079523	618.699386019983	614.860535914245	491.974377962337	824.374638021803	926.04007555539	473.580783382891	404.516270991072	490.722683057483	617.691922370641	557.05364888012	497.099351007479	1220.14659143766	937.547925206692	731.080075035614	576.145131644726	929.252661490664	520.113324858851	812.772362279983	582.563275446744	546.480696600656	546.270462044327	610.786647859435	456.902006083801	233.716330152482	273.938479711271	232.171388496748	183.810029936102	350.953487563997	206.075774030635	205.225128201403	162.837975362521	351.680157175981
hsa-let-7b-5p	44964.6426195999	31524.084292145	29587.000285242	30924.0377824461	32064.5804559181	33225.0182056987	29879.7468963654	42607.9232092128	40200.9809384201	35268.2766088315	30588.9796104193	30386.3204976606	28027.1320800895	34475.500408629	38142.719561478	37256.9514860652	28555.5462836987	43519.6252052533	40758.7799520052	43163.3865756142	32086.2306150118	34586.0593509996	28001.375995262	28984.6912767964	36078.8911258215	51899.5169331358	40928.5886503964	49563.7058099445	33056.1408347274	39433.0436089652	33747.3530398801	36421.2713929841	25606.0508144737	31756.3604799322	31279.0420118715	37420.285745036	20312.7078061026	13748.9266504422	28614.0459191036	15948.1916588606	13834.2671601722	19311.0177471069	18510.4105154019	17203.5698858137	21329.4731756654	23094.9589774186
hsa-let-7c-3p	36.045005607081	26.9855974485288	30.3488613565371	22.0478377076658	28.0124690653497	22.4005666230645	20.0917271521005	20.710267276027	27.1101616376431	19.1983464354156	20.1840842035099	41.0588122070161	33.8768102983586	34.6474048403368	18.5414642498102	26.9774275355427	21.9468123998069	16.1466196783378	37.1903644801361	12.5065347724355	33.709689249256	18.8377229580608	23.6814794519095	24.219723864353	21.4729741255931	21.6433985177411	17.9209361961038	11.7442582335038	35.7299306446342	39.5026435046638	21.9095356625523	11.1625388810985	30.0749683309027	23.760030286985	23.6042792241376	16.3260581975006	37.8125798138318	40.3368285542355	25.0504214485233	48.6088857458755	52.6147669333825	45.5184034622478	32.7682326197122	31.0007746527799	42.5795412608713	39.5073473070623
hsa-let-7c-5p	38900.0704262086	31006.4514683596	37970.6116068702	30165.3327789764	35318.3364781241	32701.0938419037	32175.2267234929	27955.4091114237	27367.7081732007	32198.3695931113	25361.3018017102	34543.525233621	33543.9706371772	38449.2912253168	28441.6302926694	29685.2868244228	28516.2249114824	32100.3769549621	39976.8525388103	40149.3116954572	36192.0707655712	39037.4132859894	30221.5146938786	31444.5727962368	36512.6452031584	24864.2067596625	24315.8807966082	35717.2253526435	39535.1682582877	31020.8616207339	36527.9588920101	24596.6544245005	25308.6427943126	32023.1208199724	30506.8448772532	29693.2584357954	21301.0866284586	8902.57533738186	23930.425186341	13034.8564671177	11187.1294056278	12002.345399886	20752.4858095373	11283.6619581188	12843.485682215	13892.9853620294
hsa-let-7d-3p	1102.37642148323	1064.70448115105	998.372887384014	1101.09495375343	981.513819943597	996.825214726372	919.196517208596	1098.5070934326	1217.69809355747	1012.02711923833	1000.66478993555	1051.66548539334	983.274418909859	1233.98064931353	977.818272542623	992.544521411843	942.798482675036	1011.85483317584	949.284053355475	828.766370920059	872.406757770744	928.699741832397	842.665977163781	1013.01627641338	1091.90073428641	1421.70074013412	1124.30294451346	1054.04717645697	923.023208319717	1190.7225399263	1169.77868667888	1096.71944506793	911.160151654755	1068.12136153765	992.503740710166	1100.56839378445	1044.04734263747	1021.47086427049	972.117967824954	1125.03986877625	1020.17983157844	1221.0806494003	857.799511689356	947.383673388955	981.631045824951	1194.28767924956
hsa-let-7d-5p	5262.57081863383	7672.49600184308	7076.517258376	7457.35687171049	5608.95822900809	8238.43061359373	6923.27431449462	8895.92272285675	6970.70031107899	8648.39796566816	5838.63451133069	7131.16915650039	6528.06134449371	6171.23583906153	7117.9705388482	7406.42791798713	6143.2785709126	9517.53526595356	5315.43284332346	9521.64180674755	8138.86737234036	8328.15731975867	5196.11128307315	7285.92475728081	8289.6416611852	6493.01955532234	7108.00921967568	10036.4473487151	6051.75700293492	5805.00751692346	8628.54669701735	7564.01540930436	5086.01131107043	6812.64868410462	6195.56128968792	8667.21619014372	6977.47132509124	4626.8715106329	9713.90697524836	4949.15207765243	4669.73139250306	6176.64944372501	8995.24394558456	5526.19808960455	6228.69640741799	7612.61246306903
hsa-let-7e-3p	243.303787847797	133.701369176802	160.116406467248	143.959410914759	178.848840955694	114.49178496233	125.573294700628	147.560654341692	126.514087642335	151.758357537094	130.42023639191	218.358228555495	173.618652779088	155.913321781516	130.766116288135	112.405948064761	137.167577498793	137.246267265871	188.741099736691	135.070575542303	141.580694846875	167.655734326741	179.584552510314	183.227476191193	123.46960122216	174.499900549288	174.493326119958	136.037657871419	169.717170562012	135.437634873133	172.418519779216	147.205981494486	177.108146837538	169.560216138939	177.594100829226	132.529178309123	140.746824862596	217.107047806621	168.080247138479	167.572737702887	209.775759072057	220.335460237547	203.163042242216	210.805267638904	162.837975362521	175.516247872359
hsa-let-7e-5p	13929.8927919032	12964.1263378864	12423.1494194294	13035.4598117499	11611.1684275874	15655.5071176751	15376.8685137409	14251.2526693161	12836.661535424	15820.3516697555	11669.5059133523	15472.6401182849	12304.0575003638	11801.4391256163	13434.7546487967	12039.8010972166	11306.2661879672	16711.7513670796	15088.1308695912	19949.5905000043	16176.605676933	17228.0395312945	9249.59118259167	13178.6888766251	14441.6487481676	9866.68429927523	11318.4860185919	18023.5216356839	11618.1824479469	8310.60376207642	15685.3223573733	13974.8010204552	10270.0447411453	12825.0163480885	12505.7719356074	15636.5223277474	10809.1460795595	4733.64546857058	7507.85373155582	5070.67429201712	5173.32987600829	6532.22074033591	9070.24678913635	5255.25131913925	5577.91990517413	6907.30916442327
hsa-let-7f-1-3p	133.666895792925	87.0898826747975	91.0465840696114	60.9557866035466	88.3470178214874	70.9351276397043	63.6238026483181	71.6230076629266	106.181466414102	105.133801908228	81.5126477449438	103.580185340427	88.0797067757324	127.928879410474	80.9969227754868	88.8006989711615	96.017304249155	84.3212360979863	99.4842249843642	71.7041326952968	59.3290530786905	82.8859810154674	106.566657533593	96.8788954574122	77.302706852135	162.325488883058	135.821832223102	92.9753776819053	105.70104482371	126.032243562499	88.5907311572768	104.648802010298	120.299873323611	102.600130784708	76.4329041543502	67.2249455191202	65.1216652349325	56.9461109000972	57.3735458982309	45.4109327362785	37.5819763809875	67.2880746833228	49.5164404031207	48.9812239513923	39.1271460235033	66.7091274201216
hsa-let-7f-2-3p	223.779409810628	226.92434218081	246.976940694578	173.788838401601	214.403128615561	187.915864449041	165.756749004829	192.432900106417	187.511951327032	199.297120139076	198.735598311482	244.486563596323	264.239120327197	229.205908943767	188.342242116493	166.360803135847	186.547905398358	130.967026279851	180.37326772866	151.745955238884	144.277469986816	212.866269426087	223.000598172148	197.969916804277	194.330415836617	263.77891943497	201.846333998221	125.272087824041	267.974479834756	139.199791397387	133.362390989449	161.159155095859	225.00531862379	220.320280842952	173.098047643676	189.190203818096	134.444728226957	78.3009024876336	96.1612952378799	87.6239124629599	60.8144708710524	63.3299526431273	83.0128559699377	89.9022464930618	60.9923158601669	79.0146946141247
hsa-let-7f-5p	114112.480251084	115861.436027193	113161.485386382	106076.03800647	97290.5372719284	114425.827738384	100878.8877201	127775.445670661	110587.997270288	93206.1435299963	102723.79131004	122724.789686771	100585.331297371	114171.194503873	107067.197377259	126183.545119059	97398.1245293095	115731.793578913	135213.937899543	114360.587728135	106568.463205028	107950.513297315	76938.1665543226	90094.2136809762	114792.372378008	148646.861019846	95469.5431524859	123456.621238778	101647.186442654	128620.607251185	93981.4295187718	99012.4175340236	84888.2689455467	105495.61447559	96862.9698294895	126961.03210741	87145.392277611	70641.6505715706	147853.243935963	88862.7994588778	75369.6286690782	88870.3947944952	118342.836197564	92725.797048437	112843.839930196	113248.13488641
hsa-let-7g-3p	115.644392989385	84.6366465431131	137.093132334702	75.2220345320362	126.056110794073	65.95722394569	77.0182874163851	88.0186359231146	110.699826687043	78.6217996878923	109.459841257496	114.778043215068	113.487314499501	129.261471904333	101.490120104224	95.5450558550472	117.964116648962	91.4975115105809	54.8557876082008	102.553585133971	93.0387423279465	90.4210701986918	138.141963469472	120.045587849402	106.291221921686	185.321599808158	123.560139036294	88.0819367512787	99.7460563829371	110.983617465484	77.1596690724669	101.160508609955	122.527648755529	96.1201225246213	92.1690903037753	93.1545673622095	69.3230629920249	47.4550924167477	48.4846866745613	80.5884158418463	45.7816803186575	72.5655707369167	56.0700869270632	65.7216422638935	67.3217071286748	60.8801745387518
